empresa,region_casa_matriz,vertical
Neocrop Technologies,Los Ríos,Deep y/o machine learning
Neurotech Spa,Biobío,Biotecnología
Neurotech Spa,Biobío,Dispositivos médicos
Neurotech Spa,Biobío,Tecnologías biomédicas
Oceancare Spa,Los Lagos,Manufactura avanzada
Oceancare Spa,Los Lagos,Nanotecnología
Patagonian Tech Spa,Biobío,Medioambiente
Perceptron Spa,Los Ríos,Big Data
Perceptron Spa,Los Ríos,Computación de alto desempeño
Perceptron Spa,Los Ríos,Inteligencia artificial
Plancton Andino Spa,Los Lagos,Big Data
Plancton Andino Spa,Los Lagos,Medioambiente
Plancton Andino Spa,Los Lagos,Sistemas de Instrumentación
Proyecto De Bioconversión De Residuos Orgánicos En Proceso De Constitución,Los Ríos,Medioambiente
Rolando Esteban Montero Arismendi Educacion Y Desarrollo De Sistemas Lautaros Eirl,Los Lagos,Deep y/o machine learning
Rolando Esteban Montero Arismendi Educacion Y Desarrollo De Sistemas Lautaros Eirl,Los Lagos,Tecnologías para la enseñanza
Rootman Spa,Biobío,Agrotecnología
Rootman Spa,Biobío,Biotecnología
Rootman Spa,Biobío,Materiales avanzados
Rovisa Tech Spa,La Araucanía,Energía
Scanfish Spa,Los Ríos,Dispositivos médicos
Scanfish Spa,Los Ríos,Medioambiente
Sequre Spa,Biobío,Ciberseguridad
Sequre Spa,Biobío,Computación cuántica
Sequre Spa,Biobío,Fotónica y electrónica
Smartgrip Spa,Biobío,Biónica
Smartgrip Spa,Biobío,Robótica
Smartgrip Spa,Biobío,Tecnologías biomédicas
Soc Adl Diagnostic Chile Spa,Los Lagos,Biotecnología
Soc Adl Diagnostic Chile Spa,Los Lagos,Tecnologías biomédicas
Sociedad Comercial Coloris Biotech,Biobío,Biotecnología
Tecnologia Transformacion Y Control Spa,Biobío,Deep y/o machine learning
Tecnologia Transformacion Y Control Spa,Biobío,Inteligencia artificial
Tippmann Ingeniería Spa,Biobío,Medioambiente
Tippmann Ingeniería Spa,Biobío,Tecnología química
Tokosova Hydrovalv Spa,La Araucanía,Agrotecnología
Tokosova Hydrovalv Spa,La Araucanía,Energía
Tokosova Hydrovalv Spa,La Araucanía,Medioambiente
Transiot,Biobío,Deep y/o machine learning
Transiot,Biobío,Inteligencia artificial
Transiot,Biobío,Movilidad
Traza Verde,Biobío,Ingeniería genética
Traza Verde,Biobío,Medioambiente
Traza Verde,Biobío,Nanotecnología
Umov Spa,Biobío,Dispositivos médicos
Umov Spa,Biobío,Salud Digital
Vidal Y Urrutia Limitada,Biobío,Biotecnología
